PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 3xx,Internal outlinks codes (3xx),No. of internal outlinks to 3xx,External outlinks to 3xx,External outlinks codes (3xx),No. of external outlinks to 3xx
21,https://shop.testograph.eu/en/blogs/libido-i-seksualno-zdrave/tagged/%D0%B5%D1%80%D0%B5%D0%BA%D1%82%D0%B8%D0%BB%D0%BD%D0%B0-%D0%B4%D0%B8%D1%81%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D1%8F,"Либидо и сексуално здраве – tagged ""Еректилна Дисфункция"" – Testograph",text/html; charset=utf-8,false,200,0,5,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
21,https://testograph.eu/privacy,Политика за поверителност | TestoGraph | Testograph,text/html; charset=utf-8,false,200,0,1,,,0,https://www.cpdp.bg/,301,1
21,https://shop.testograph.eu/blogs/simptomi-na-nisak-testosteron/kakvi-sa-simptomite-na-nisak-testosteron,Какви са симптомите на нисък тестостерон? – Testograph,text/html; charset=utf-8,false,200,0,3,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/en/blogs/testosteron-sled-30/tagged/%D1%82%D0%B5%D1%81%D1%82%D0%BE%D1%81%D1%82%D0%B5%D1%80%D0%BE%D0%BD,"Тестостерон след 30 – tagged ""Тестостерон"" – Testograph",text/html; charset=utf-8,false,200,0,5,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/blogs/simptomi-na-nisak-testosteron/tagged/%D0%B5%D1%80%D0%B5%D0%BA%D1%82%D0%B8%D0%BB%D0%BD%D0%B0-%D0%B4%D0%B8%D1%81%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D1%8F,"Симптоми на нисък тестостерон – tagged ""Еректилна Дисфункция"" – Testograph",text/html; charset=utf-8,false,200,0,4,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/blogs/testosteron-sled-30/kak-da-sprem-spada-na-testosteron-sled-30,Как да спрем спада на тестостерона след 30 – Testograph,text/html; charset=utf-8,false,200,0,3,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/blogs/testosteron-sled-30/tagged/%D1%82%D0%B5%D1%81%D1%82%D0%BE%D1%81%D1%82%D0%B5%D1%80%D0%BE%D0%BD,"Тестостерон след 30 – tagged ""Тестостерон"" – Testograph",text/html; charset=utf-8,false,200,0,4,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/blogs/hranene-i-dieta/koi-hrani-povishavat-testosterona-estestveno,Кои храни повишават тестостерона естествено? – Testograph,text/html; charset=utf-8,false,200,0,3,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/en/products/testoup-sample-7,TestoUP 7-ДНЕВЕН ПАКЕТ – Testograph,text/html; charset=utf-8,false,200,0,4,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/blogs/libido-i-seksualno-zdrave/kak-da-si-vurnesh-liboto-i-silnata-erekciya,Как да си върнеш либидото и силната ерекция? – Testograph,text/html; charset=utf-8,false,200,0,3,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/en/blogs/hranene-i-dieta/koi-hrani-povishavat-testosterona-estestveno,Кои храни повишават тестостерона естествено? – Testograph,text/html; charset=utf-8,false,200,0,4,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/en/blogs/simptomi-na-nisak-testosteron/tagged/%D0%B5%D1%80%D0%B5%D0%BA%D1%82%D0%B8%D0%BB%D0%BD%D0%B0-%D0%B4%D0%B8%D1%81%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D1%8F,"Симптоми на нисък тестостерон – tagged ""Еректилна Дисфункция"" – Testograph",text/html; charset=utf-8,false,200,0,5,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/en/blogs/testosteron-sled-30/kak-da-sprem-spada-na-testosteron-sled-30,Как да спрем спада на тестостерона след 30 – Testograph,text/html; charset=utf-8,false,200,0,4,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/products/testoup-sample-7,TestoUP 7-ДНЕВЕН ПАКЕТ – Testograph,text/html; charset=utf-8,false,200,0,3,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/blogs/libido-i-seksualno-zdrave/tagged/%D0%B5%D1%80%D0%B5%D0%BA%D1%82%D0%B8%D0%BB%D0%BD%D0%B0-%D0%B4%D0%B8%D1%81%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D1%8F,"Либидо и сексуално здраве – tagged ""Еректилна Дисфункция"" – Testograph",text/html; charset=utf-8,false,200,0,4,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/en/blogs/simptomi-na-nisak-testosteron/kakvi-sa-simptomite-na-nisak-testosteron,Какви са симптомите на нисък тестостерон? – Testograph,text/html; charset=utf-8,false,200,0,4,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
21,https://shop.testograph.eu/en/blogs/hranene-i-dieta/tagged/%D0%B2%D1%8A%D0%B3%D0%BB%D0%B5%D1%85%D0%B8%D0%B4%D1%80%D0%B0%D1%82%D0%B8,"Хранене и Диета – tagged ""Въглехидрати"" – Testograph",text/html; charset=utf-8,false,200,0,5,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
